t,avg_high,avg_score,score,avg_low
10,-183.53641092036943,-183.53641092036943,-103.23311956895463,-183.53641092036943
20,-187.2218662322077,-220.3909640387521,-184.6014299063553,-220.3909640387521
30,-194.4592965774238,-259.59616968436853,-352.24019814824976,-259.59616968436853
40,-194.84352044782221,-232.8816836172643,-327.79703707367383,-259.32902482369747
50,-195.0724154922839,-217.7330248939919,-60.968493733027884,-258.9130648244004
60,-195.23943999116247,-211.7748653801389,-219.33077878443623,-258.4416828299578
70,-195.4150731581287,-212.80275668778512,-166.1250223877023,-257.98529356853606
80,-195.54432628545678,-208.34038589093453,-121.79879523387902,-257.48884449176006
90,-195.55796490432567,-196.90818817234754,-107.82038981911535,-256.88303792856595
100,-195.7003829210139,-209.79976657314947,-145.73921236362838,-256.4122052150118
110,-195.76082494796742,-201.7445856163651,-160.2871479901501,-255.86552901902533
120,-195.76995032640298,-196.6733627915222,-87.37892327973378,-255.2736073567503
130,-189.66212997901505,-189.66212997901505,-54.56398176632304,-248.71245961897677
140,-189.05617887603256,-189.05617887603256,-42.920985570891276,-242.74683154468235
150,-187.82092556008132,-187.82092556008132,-398.48925944668605,-237.25424094622224
160,-179.49330908292794,-179.49330908292794,-84.58240497298358,-231.4781477598928
170,-179.6131353476522,-191.47593555535425,-431.16321631656024,-231.07812563784742
180,-179.657103007491,-184.00990133153215,-130.29469176010062,-230.60744339478427
190,-175.44091382575033,-175.44091382575033,-90.2248925845715,-225.09079043788088
200,-171.92622811724797,-171.92622811724797,-124.38252615504014,-219.77433420581758
210,-172.0191177512165,-181.2151915141017,-272.9908665023471,-219.38874277890042
220,-172.08829146492545,-178.93648912211194,-127.12992706744836,-218.98422024233253
230,-172.16969629332155,-180.228774304537,-194.80158790026317,-218.59666578295457
240,-172.37925420745597,-193.12548770676463,-264.5006078024675,-218.34195400219267
250,-172.45468294562397,-179.92212802425593,-46.715988083610796,-217.9577557424133
260,-172.52603342765173,-179.58973114839856,-82.75884776670388,-217.57407549647314
270,-172.97111540673396,-217.03423133587597,-544.24199665343,-217.56867705486718
280,-178.79345552856347,-231.19451662502905,-340.5553556186893,-231.19451662502905
290,-179.28215888477692,-227.66379114990698,-134.8457302360556,-231.15920937027784
300,-179.69061252594372,-220.12752300145738,-206.2010109639152,-231.04889250658962
310,-180.04355547427772,-214.98490735934524,-141.8046245308544,-230.88825265511718
320,-180.34022672751573,-209.7106807980778,-112.59691339684588,-230.67647693654678
330,-180.55895556872736,-202.21311084867963,-111.23923701096504,-230.3918432756681
340,-180.709225029527,-195.58590164869182,-144.1899047078192,-230.04378385939833
350,-180.80154912476385,-189.94163455321285,-151.36538317791764,-229.64276236633648
360,-180.83698779079495,-184.34541572787418,-140.53776718413866,-229.18978889995185
370,-178.82110251776584,-178.82110251776584,-121.14473608555105,-224.15292026173324
380,-173.00070606169598,-173.00070606169598,-107.50587027632515,-219.0376988417295
390,-168.74308240509635,-168.74308240509635,-140.96573715315435,-214.00823719806618
400,-164.6156439811507,-164.6156439811507,-99.65363281348054,-209.06897787637465
410,-164.77573238026847,-180.6244838929269,-274.3229561892639,-208.78453293654016
420,-164.88602169170633,-175.80466352405494,-172.91832074951165,-208.4547342424153
430,-165.10160869258982,-186.44472178005404,-396.8681726019527,-208.2346341177917
440,-165.29723695165367,-184.66443459897565,-191.57867669259286,-207.99893212260355
450,-171.71899256867505,-229.51479312186748,-550.5781576604325,-229.51479312186748
460,-171.98730742368278,-198.55047806944796,-6.668376155901441,-229.2051499713433
470,-172.19560032436127,-192.81659749153118,-250.01770676204717,-228.84126444654518
480,-179.218785089982,-242.42744798056862,-545.4670674900336,-242.42744798056862
490,-185.88511646490676,-245.88209883922954,-241.45241742324438,-245.88209883922954
500,-186.26807949661435,-224.1814196356646,-43.23288709866827,-245.6650920471939
510,-186.47287798692204,-206.74792852738287,-64.75468992016746,-245.2759204119958
520,-186.67815135070182,-207.0002143648988,-160.36295564749906,-244.89316335152483
530,-186.7328834210842,-192.15135838894105,-73.0257640421342,-244.36574530189898
540,-186.7889506174496,-192.33960305762236,-281.48299332613135,-243.84548387945622
550,-180.9051206711541,-180.9051206711541,-87.44923826828906,-237.55144755862602
560,-169.74728211858098,-169.74728211858098,1.057275003937633,-230.7710310146215
570,-165.85656861826615,-165.85656861826615,-282.5279639142014,-224.27958477498598
580,-166.22808987765188,-203.00869455683792,-422.6223169307041,-224.0668758728045
590,-166.6405478417918,-207.4738862916438,-324.5030885130381,-223.9009459769929
600,-166.8574122699108,-188.3269906536929,-58.77379509104176,-223.54520642375988
610,-166.94021829630543,-175.13801490937294,-55.21556362299725,-223.06113450861602
620,-167.2370388187663,-196.62227054239335,-505.1007240357491,-222.7967458689538
630,-167.41531847950026,-185.06500489215995,-92.86307784003174,-222.41942845918587
640,-167.43189319210347,-169.07278973982233,-130.8004584307394,-221.88596207199222
650,-163.17288218237047,-163.17288218237047,-81.22613368300259,-216.01465408303005
660,-163.23914293348886,-169.79895729420903,-287.04647317396984,-215.55249711514185
670,-154.15299118601925,-154.15299118601925,18.06585169073428,-209.41254652222958
680,-154.16652096642224,-155.50596922631803,-155.04649735842872,-208.87348074927047
690,-151.35872736757582,-151.35872736757582,-65.61289672541409,-203.12200541110101
700,-150.5705928860334,-150.5705928860334,-183.95043328442267,-197.86686415859424
710,-150.58317594083334,-151.82889836602715,-199.48530407697086,-197.40648450066857
720,-148.57924490643433,-148.57924490643433,-122.49110740297775,-192.52376054124514
730,-138.34762240942285,-138.34762240942285,2.7429030434971855,-187.10614672806292
740,-138.39518956749498,-143.10433821663676,-193.62693828741357,-186.66612864294865
750,-133.41436408585432,-133.41436408585432,-80.08718055079508,-181.34095218723922
760,-133.45803690666304,-137.78164616672578,-227.07747722993275,-180.9053591270341
770,-133.4670228474056,-134.3566309809174,-168.36329068445178,-180.43987184557292
780,-132.6897588454662,-132.6897588454662,-106.82333502578109,-175.66486054556225
790,-132.73131356515165,-136.84523081401184,-134.2371627720416,-175.27666424824673
